PS C:\Users\vscottki> tcpkg list -i
TcPkg 2.1.134

netfx.4.8.1.Beckhoff 4.8.9037.7
Node.js.Beckhoff 20.11.1
TC1000.ADS.XAR 1.0.0
TC1300.Cpp.XAE 1.1.0
TC170x.UsermodeRuntime.XAR 4026.12.1
TE1300.ScopeViewProfessional.XAE 34.48.31
TE1310.FilterDesigner.XAE 34.48.25
TE1320.BodePlotBase.XAE 34.48.31
TE2000.HMIEngineering.XAE 14.2.13
TE5950.DriveManager2.XAE 1.1.90
TE9000.SafetyEditor.XAE 1.4.8
TF1800.PLCHMI.XAR 1.0.3
TF2000.HMIServer.XAR 14.2.4
TF3300.ScopeServer.XAR 34.48.31
TF3900.SolarPositionAlgorithm.XAE 1.0.0
TF5210.CNCE.XAE 4.17.0
TF5210.CNCE.XAR 4.17.0
TF5850.XTS.XAE 4.0.5
TF6010.AdsMonitor.XAE 1.0.0
TF8020.BACnet.XAE 1.0.4
TF8020.BACnet.XAR 1.0.4
TwinCAT.BlockDiagramClassic.XAE 1.5.21
TwinCAT.DriveManagerClassic.XAE 2.15.4
TwinCAT.HMI.Alarm 14.2.102
TwinCAT.HMI.BaseTemplate 14.2.90
TwinCAT.HMI.Controls 14.2.110
TwinCAT.HMI.EcDiagnostics 14.2.102
TwinCAT.HMI.EcDiagnosticsControl 14.2.90
TwinCAT.HMI.Engineering 14.2.116
TwinCAT.HMI.Engineering.TcXaeShell 14.2.116
TwinCAT.HMI.Engineering.TcXaeShell64 14.2.116
TwinCAT.HMI.EventLogger 14.2.102
TwinCAT.HMI.Framework 14.2.110
TwinCAT.HMI.Functions 14.2.90
TwinCAT.HMI.Ldap 14.2.102
TwinCAT.HMI.Mdp 14.2.102
TwinCAT.HMI.Motion 14.2.90
TwinCAT.HMI.PackML 14.2.90
TwinCAT.HMI.PDFViewer 14.2.90
TwinCAT.HMI.RecipeManagement 14.2.102
TwinCAT.HMI.ResponsiveNavigation 14.2.90
TwinCAT.HMI.Server 14.2.102
TwinCAT.HMI.Server.Engineering 14.2.102
TwinCAT.HMI.Server.NET 14.2.102
TwinCAT.HMI.Server.NET.SDK 14.2.102
TwinCAT.HMI.SqliteHistorize 14.2.102
TwinCAT.HMI.XTS 4.0.28
TwinCAT.HMI.XTS.Controls 4.0.8
TwinCAT.Prep 1.0.19
TwinCAT.Standard.XAE 4026.12.1
TwinCAT.Standard.XAR 4026.12.1
TwinCAT.XAE.AdsApi 1.2.1
TwinCAT.XAE.AdsMonitorViewerIntegrated 1.0.5
TwinCAT.XAE.AdsMonitorViewerIntegrated.TcXaeShell 1.0.5
TwinCAT.XAE.AdsMonitorViewerStandalone 1.0.8
TwinCAT.XAE.AdvancedMotion 0.3.79
TwinCAT.XAE.ApplicationRuntime 1.0.5
